Feature,Highest Churn Category,Highest Churn Rate,Lowest Churn Category,Lowest Churn Rate,Gap
Contract,Month-to-month,42.70967741935484,Two year,2.8486646884272995,39.86101273092754
InternetService,Fiber optic,41.89276485788114,No,7.434210526315789,34.45855433156535
OnlineSecurity,No,41.77866742922505,No internet service,7.434210526315789,34.344456902909265
TechSupport,No,41.647465437788014,No internet service,7.434210526315789,34.21325491147223
OnlineBackup,No,39.94169096209912,No internet service,7.434210526315789,32.507480435783336
DeviceProtection,No,39.14027149321267,No internet service,7.434210526315789,31.706060966896885
PaymentMethod,Electronic check,45.28541226215645,Credit card (automatic),15.253122945430638,30.03228931672581
StreamingMovies,No,33.728874505573536,No internet service,7.434210526315789,26.29466397925775
StreamingTV,No,33.53506585973656,No internet service,7.434210526315789,26.100855333420775
SeniorCitizen,1,41.68126094570928,0,23.65025466893039,18.031006276778893
PaperlessBilling,Yes,33.589251439539346,No,16.37569832402235,17.213553115516998
Dependents,No,31.279140482465028,Yes,15.531205335874226,15.747935146590802
Partner,No,32.97609233305853,Yes,19.71706454465075,13.259027788407781
MultipleLines,Yes,28.648466464442198,No phone service,25.0,3.6484664644421976
PhoneService,Yes,26.747481108312343,No,25.0,1.7474811083123427
gender,Female,26.959517657192077,Male,26.204564666103124,0.7549529910889525
